"","schoolcode","sssdistrict","ssslong","ssslat","programplaced","cutoff","quality","size"
"46",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",339,366.4875,80
"47",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",331,356.355555555556,90
"48",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",260,306.266666666667,45
"49",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",328,356.735632183908,87
"50",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",323,347.977272727273,44
"51",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",328,345.19,100
"52",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",293,319,50
"53",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",336,354.68,50
"54",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",336,350.353535353535,99
"55",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",314,331.106382978723,47
"56",10106,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Technical",301,324.285714285714,49
"57",10106,"Accra Metro",NA,NA,"Business",328,345.19,100
"58",10106,"Accra Metro",NA,NA,"Home Economics",293,319,50
"59",10106,"Accra Metro",NA,NA,"General Science",336,354.68,50
"60",10106,"Accra Metro",NA,NA,"General Arts",336,350.353535353535,99
"61",10106,"Accra Metro",NA,NA,"Visual Arts",314,331.106382978723,47
"62",10106,"Accra Metro",NA,NA,"Technical",301,324.285714285714,49
"63",10107,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",299,318.065934065934,91
"64",10107,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",292,313.289156626506,83
"65",10107,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",288,306.92,50
"66",10107,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",286,303.121951219512,41
"67",10107,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",281,310.658536585366,41
"68",10107,"Accra Metro",NA,NA,"General Arts",299,318.065934065934,91
"69",10107,"Accra Metro",NA,NA,"Business",292,313.289156626506,83
"70",10107,"Accra Metro",NA,NA,"Visual Arts",288,306.92,50
"71",10107,"Accra Metro",NA,NA,"Home Economics",286,303.121951219512,41
"72",10107,"Accra Metro",NA,NA,"General Science",281,310.658536585366,41
"73",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",280,302.822222222222,45
"74",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",291,310.663865546218,119
"75",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",278,294.022222222222,45
"76",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",248,285.444444444444,45
"77",10108,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",291,312.015625,64
"78",10108,"",NA,NA,"Visual Arts",280,302.822222222222,45
"79",10108,"",NA,NA,"General Arts",291,310.663865546218,119
"80",10108,"",NA,NA,"Home Economics",278,294.022222222222,45
"81",10108,"",NA,NA,"General Science",248,285.444444444444,45
"82",10108,"",NA,NA,"Business",291,312.015625,64
"83",10108,"Accra Metro",NA,NA,"Visual Arts",280,302.822222222222,45
"84",10108,"Accra Metro",NA,NA,"General Arts",291,310.663865546218,119
"85",10108,"Accra Metro",NA,NA,"Home Economics",278,294.022222222222,45
"86",10108,"Accra Metro",NA,NA,"General Science",248,285.444444444444,45
"87",10108,"Accra Metro",NA,NA,"Business",291,312.015625,64
"88",10109,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",278,297.1,50
"89",10109,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",259,277.5,50
"90",10109,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Technical",257,279.085,200
"91",10109,"Accra Metro",NA,NA,"Visual Arts",278,297.1,50
"92",10109,"Accra Metro",NA,NA,"Home Economics",259,277.5,50
"93",10109,"Accra Metro",NA,NA,"Technical",257,279.085,200
"94",10110,"Accra Metro",NA,NA,"Home Economics",366,385.825,40
"95",10110,"Accra Metro",NA,NA,"General Arts",389,409.146666666667,225
"96",10110,"Accra Metro",NA,NA,"Visual Arts",389,407.64,50
"97",10110,"Accra Metro",NA,NA,"General Science",401,419.988888888889,180
"98",10110,"Accra Metro",NA,NA,"Agriculture",343,371.275,40
"99",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",366,385.825,40
"100",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",389,409.146666666667,225
"101",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",389,407.64,50
"102",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",401,419.988888888889,180
"103",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",343,371.275,40
"104",10111,"Ga East",NA,NA,"Business",382,405.333333333333,120
"105",10111,"Ga East",NA,NA,"General Science",407,424.885714285714,280
"106",10111,"Ga East",NA,NA,"Agriculture",371,394.8,40
"107",10111,"Ga East",NA,NA,"Visual Arts",379,398.075,40
"108",10111,"Ga East",NA,NA,"General Arts",382,401.525,120
"109",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Business",382,405.333333333333,120
"110",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Science",407,424.885714285714,280
"111",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Agriculture",371,394.8,40
"112",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Visual Arts",379,398.075,40
"113",10111,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Arts",382,401.525,120
"114",10112,"Accra Metro",NA,NA,"General Science",362,377.466666666667,45
"115",10112,"Accra Metro",NA,NA,"General Arts",374,385.850574712644,87
"116",10112,"Accra Metro",NA,NA,"Home Economics",363,375.966666666667,30
"117",10112,"Accra Metro",NA,NA,"Visual Arts",316,347.285714285714,49
"118",10112,"Accra Metro",NA,NA,"Business",359,380.14606741573,89
"119",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",362,377.466666666667,45
"120",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",374,385.850574712644,87
"121",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",363,375.966666666667,30
"122",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",316,347.285714285714,49
"123",10112,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",359,380.14606741573,89
"124",10114,"Accra Metro",NA,NA,"General Arts",337,351.9,100
"125",10114,"Accra Metro",NA,NA,"Business",329,347.99,100
"126",10114,"Accra Metro",NA,NA,"Visual Arts",319,338.22,50
"127",10114,"Accra Metro",NA,NA,"Home Economics",319,335.02,50
"128",10114,"Accra Metro",NA,NA,"General Science",325,350.54,50
"129",10114,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",337,351.9,100
"130",10114,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",329,347.99,100
"131",10114,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",319,338.22,50
"132",10114,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",319,335.02,50
"133",10114,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",325,350.54,50
"134",10115,"Accra Metro",NA,NA,"Technical",295,316.0125,80
"135",10115,"Accra Metro",NA,NA,"General Arts",321,338.538461538462,39
"136",10115,"Accra Metro",NA,NA,"General Science",274,312.825,40
"137",10115,"Accra Metro",NA,NA,"Home Economics",275,299.897435897436,39
"138",10115,"Accra Metro",NA,NA,"Visual Arts",290,314.875,40
"139",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Technical",295,316.0125,80
"140",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",321,338.538461538462,39
"141",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",274,312.825,40
"142",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",275,299.897435897436,39
"143",10115,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",290,314.875,40
"144",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",288,335.368421052632,38
"145",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",279,298.051282051282,39
"146",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",205,273.635714285714,280
"147",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",307,325.64,50
"148",10116,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",288,309.051282051282,39
"149",10116,"Accra Metro",NA,NA,"General Science",288,335.368421052632,38
"150",10116,"Accra Metro",NA,NA,"Home Economics",279,298.051282051282,39
"151",10116,"Accra Metro",NA,NA,"Business",205,273.635714285714,280
"152",10116,"Accra Metro",NA,NA,"General Arts",307,325.64,50
"153",10116,"Accra Metro",NA,NA,"Visual Arts",288,309.051282051282,39
"154",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",368,382.4625,80
"155",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",341,353.615384615385,39
"156",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",363,375.836206896552,116
"157",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",358,370.078947368421,38
"158",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",349,367.506329113924,158
"159",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",330,345.85,40
"160",10117,"Accra Metro",NA,NA,"General Science",368,382.4625,80
"161",10117,"Accra Metro",NA,NA,"Home Economics",341,353.615384615385,39
"162",10117,"Accra Metro",NA,NA,"General Arts",363,375.836206896552,116
"163",10117,"Accra Metro",NA,NA,"Visual Arts",358,370.078947368421,38
"164",10117,"Accra Metro",NA,NA,"Business",349,367.506329113924,158
"165",10117,"Accra Metro",NA,NA,"Agriculture",330,345.85,40
"166",10118,"Ga West",NA,NA,"General Science",298,326.488888888889,45
"167",10118,"Ga West",NA,NA,"General Arts",298,320.586592178771,179
"168",10118,"Ga West",NA,NA,"Agriculture",273,303.488888888889,45
"169",10118,"Ga West",NA,NA,"Business",291,316.881481481482,135
"170",10118,"Ga West",NA,NA,"Home Economics",292,310.711111111111,45
"171",10118,"Ga West",NA,NA,"Visual Arts",278,303.944444444444,90
"172",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Science",298,326.488888888889,45
"173",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Arts",298,320.586592178771,179
"174",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Agriculture",273,303.488888888889,45
"175",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Business",291,316.881481481482,135
"176",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Home Economics",292,310.711111111111,45
"177",10118,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Visual Arts",278,303.944444444444,90
"178",10119,"Accra Metro",NA,NA,"Business",259,288.325,120
"179",10119,"Accra Metro",NA,NA,"General Arts",273,291.96,150
"180",10119,"Accra Metro",NA,NA,"Visual Arts",272,290.938775510204,49
"181",10119,"Accra Metro",NA,NA,"General Science",235,279.413793103448,29
"182",10119,"Accra Metro",NA,NA,"Home Economics",264,279.12,50
"183",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",259,288.325,120
"184",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",273,291.96,150
"185",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",272,290.938775510204,49
"186",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",235,279.413793103448,29
"187",10119,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",264,279.12,50
"188",10120,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",266,281.6,30
"189",10120,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Technical",259,288.336538461538,104
"190",10120,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",243,270.126050420168,119
"191",10120,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",253,269.72,25
"192",10120,"Accra Metro",NA,NA,"Visual Arts",266,281.6,30
"193",10120,"Accra Metro",NA,NA,"Technical",259,288.336538461538,104
"194",10120,"Accra Metro",NA,NA,"General Arts",243,270.126050420168,119
"195",10120,"Accra Metro",NA,NA,"Home Economics",253,269.72,25
"196",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",369,386.3875,80
"197",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",360,374.8,40
"198",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",358,384.2,160
"199",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",335,361.875,40
"200",10121,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",363,384.116666666667,180
"201",10121,"Accra Metro",NA,NA,"General Arts",369,386.3875,80
"202",10121,"Accra Metro",NA,NA,"Visual Arts",360,374.8,40
"203",10121,"Accra Metro",NA,NA,"General Science",358,384.2,160
"204",10121,"Accra Metro",NA,NA,"Agriculture",335,361.875,40
"205",10121,"Accra Metro",NA,NA,"Business",363,384.116666666667,180
"216",10128,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",203,278.408163265306,49
"217",10128,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",205,249.01,100
"218",10128,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",252,271.26,50
"219",10128,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",278,295.54,50
"220",10128,"Accra Metro",NA,NA,"General Science",203,278.408163265306,49
"221",10128,"Accra Metro",NA,NA,"Home Economics",205,249.01,100
"222",10128,"Accra Metro",NA,NA,"Visual Arts",252,271.26,50
"223",10128,"Accra Metro",NA,NA,"General Arts",278,295.54,50
"242",10142,"Accra Metro",NA,NA,"General Science",225,266.3125,32
"243",10142,"Accra Metro",NA,NA,"Business",260,285.684210526316,95
"244",10142,"Accra Metro",NA,NA,"Visual Arts",275,294.75,44
"245",10142,"Accra Metro",NA,NA,"General Arts",280,305.105263157895,95
"246",10142,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",225,266.3125,32
"247",10142,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",260,285.684210526316,95
"248",10142,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",275,294.75,44
"249",10142,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",280,305.105263157895,95
"301",10201,"Tema",-0.0500882156193256,5.69031476974487,"Business",356,373.42962962963,135
"302",10201,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",339,359.216666666667,60
"303",10201,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",340,355.955555555556,45
"304",10201,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",358,373.649253731343,134
"305",10201,"Tema",-0.0500882156193256,5.69031476974487,"General Science",344,367.291044776119,134
"306",10202,"Tema",-0.0500882156193256,5.69031476974487,"General Science",320,352.383333333333,120
"307",10202,"Tema",-0.0500882156193256,5.69031476974487,"Technical",290,318.4,80
"308",10202,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",310,343.641025641026,39
"309",10202,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",316,339.27135678392,199
"310",10202,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",321,340.9,40
"311",10203,"Tema",NA,NA,"General Arts",256,282.37037037037,135
"312",10203,"Tema",NA,NA,"Visual Arts",249,274.977777777778,45
"313",10203,"Tema",NA,NA,"Home Economics",253,275.555555555556,45
"314",10203,"Tema",NA,NA,"Agriculture",252,280.777777777778,90
"315",10203,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",256,282.37037037037,135
"316",10203,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",249,274.977777777778,45
"317",10203,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",253,275.555555555556,45
"318",10203,"Tema",-0.0500882156193256,5.69031476974487,"Agriculture",252,280.777777777778,90
"319",10204,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",206,250.525,40
"320",10204,"Tema",-0.0500882156193256,5.69031476974487,"Agriculture",209,243.285714285714,35
"321",10204,"Tema",-0.0500882156193256,5.69031476974487,"Technical",234,260.175,80
"322",10204,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",217,245.333333333333,6
"323",10204,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",216,255.85,40
"324",10205,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",271,294.55,60
"325",10205,"Tema",-0.0500882156193256,5.69031476974487,"General Science",242,282,60
"326",10205,"Tema",-0.0500882156193256,5.69031476974487,"Business",278,306.708333333333,120
"327",10205,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",266,291.033333333333,60
"328",10205,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",289,311.243697478992,119
"331",10210,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",248,270.716666666667,60
"332",10210,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",276,302.483333333333,60
"333",10210,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",241,262.383333333333,60
"334",10210,"Tema",-0.0500882156193256,5.69031476974487,"Business",230,270.491666666667,120
"337",10213,"Tema",-0.0500882156193256,5.69031476974487,"General Arts",279,299.011235955056,89
"338",10213,"Tema",-0.0500882156193256,5.69031476974487,"General Science",260,305.777777777778,45
"339",10213,"Tema",-0.0500882156193256,5.69031476974487,"Home Economics",281,303.7,20
"340",10213,"Tema",-0.0500882156193256,5.69031476974487,"Visual Arts",281,296.35,20
"341",10213,"Tema",-0.0500882156193256,5.69031476974487,"Business",300,323.066666666667,45
"354",10301,"Dangme East",NA,NA,"Home Economics",277,299.809523809524,42
"355",10301,"Dangme East",NA,NA,"Visual Arts",271,295.90243902439,41
"356",10301,"Dangme East",NA,NA,"Agriculture",278,300.071428571429,42
"357",10301,"Dangme East",NA,NA,"General Science",292,317.785714285714,42
"358",10301,"Dangme East",NA,NA,"General Arts",288,310.222222222222,126
"359",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Home Economics",277,299.809523809524,42
"360",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Visual Arts",271,295.90243902439,41
"361",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Agriculture",278,300.071428571429,42
"362",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"General Science",292,317.785714285714,42
"363",10301,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"General Arts",288,310.222222222222,126
"364",10302,"Dangme East",NA,NA,"Technical",275,291.84,50
"365",10302,"Dangme East",NA,NA,"General Arts",260,286.46,100
"366",10302,"Dangme East",NA,NA,"Agriculture",246,275.96,50
"367",10302,"Dangme East",NA,NA,"Home Economics",236,261.763636363636,55
"368",10302,"Dangme East",NA,NA,"Business",285,307.054545454545,55
"369",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Technical",275,291.84,50
"370",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"General Arts",260,286.46,100
"371",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Agriculture",246,275.96,50
"372",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Home Economics",236,261.763636363636,55
"373",10302,"Dangme East (Ada)",0.106862179934978,5.91473388671875,"Business",285,307.054545454545,55
"374",10401,"Dangme West",NA,NA,"Agriculture",287,311.875,40
"375",10401,"Dangme West",NA,NA,"General Science",324,341.175,40
"376",10401,"Dangme West",NA,NA,"Home Economics",312,328.333333333333,39
"377",10401,"Dangme West",NA,NA,"General Arts",317,337.425,160
"378",10401,"Dangme West",NA,NA,"Business",335,352.3,40
"379",10401,"Dangme West",NA,NA,"Visual Arts",314,330.775,40
"380",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Agriculture",287,311.875,40
"381",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"General Science",324,341.175,40
"382",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Home Economics",312,328.333333333333,39
"383",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"General Arts",317,337.425,160
"384",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Business",335,352.3,40
"385",10401,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Visual Arts",314,330.775,40
"386",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Business",200,251.090909090909,44
"387",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Visual Arts",213,250.086956521739,23
"388",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Technical",198,242,45
"389",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Agriculture",215,255.833333333333,12
"390",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"General Arts",209,253.390625,64
"391",10402,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Home Economics",213,244.02380952381,42
"392",10402,"Dangme West",NA,NA,"Business",200,251.090909090909,44
"393",10402,"Dangme West",NA,NA,"Visual Arts",213,250.086956521739,23
"394",10402,"Dangme West",NA,NA,"Technical",198,242,45
"395",10402,"Dangme West",NA,NA,"Agriculture",215,255.833333333333,12
"396",10402,"Dangme West",NA,NA,"General Arts",209,253.390625,64
"397",10402,"Dangme West",NA,NA,"Home Economics",213,244.02380952381,42
"398",10403,"Dangme West",NA,NA,"Business",246,276.06,50
"399",10403,"Dangme West",NA,NA,"General Science",230,279,3
"400",10403,"Dangme West",NA,NA,"Home Economics",198,225.333333333333,9
"401",10403,"Dangme West",NA,NA,"Agriculture",207,257.56,50
"402",10403,"Dangme West",NA,NA,"General Arts",238,265.82,100
"403",10403,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Business",246,276.06,50
"404",10403,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"General Science",230,279,3
"405",10403,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Home Economics",198,225.333333333333,9
"406",10403,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"Agriculture",207,257.56,50
"407",10403,"Dangme West (Dodowa)",0.512386500835419,5.78625059127808,"General Arts",238,265.82,100
"412",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Visual Arts",331,346.340909090909,44
"413",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Arts",338,354.179104477612,134
"414",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Agriculture",314,334.555555555556,45
"415",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"General Science",337,355.318181818182,44
"416",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Business",339,354.426966292135,89
"417",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144,"Home Economics",313,328.422222222222,45
"418",10501,"Ga West",NA,NA,"Visual Arts",331,346.340909090909,44
"419",10501,"Ga West",NA,NA,"General Arts",338,354.179104477612,134
"420",10501,"Ga West",NA,NA,"Agriculture",314,334.555555555556,45
"421",10501,"Ga West",NA,NA,"General Science",337,355.318181818182,44
"422",10501,"Ga West",NA,NA,"Business",339,354.426966292135,89
"423",10501,"Ga West",NA,NA,"Home Economics",313,328.422222222222,45
